City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,description
59,Saint George,37.1041,-113.5841,60.35,24,0,3.44,US,2022-02-14 04:06:41,clear sky
60,Xining,36.6167,101.7667,24.64,48,39,1.03,CN,2022-02-14 04:07:29,scattered clouds
61,Busselton,-33.65,115.3333,89.04,40,0,5.1,AU,2022-02-14 04:04:07,clear sky
62,Tazovskiy,67.4667,78.7,-5.96,97,89,11.21,RU,2022-02-14 04:07:30,overcast clouds
63,Yakeshi,49.2833,120.7333,-12.19,94,100,4.7,CN,2022-02-14 04:07:30,overcast clouds
64,Safaga,26.7292,33.9365,60.28,53,1,16.8,EG,2022-02-14 04:07:31,clear sky
65,Ocampo,21.65,-101.5,42.53,66,100,8.21,MX,2022-02-14 04:07:31,overcast clouds
66,Hermanus,-34.4187,19.2345,66.9,77,85,18.95,ZA,2022-02-14 04:07:31,overcast clouds
67,Helong,42.5397,128.9972,18.09,77,100,4.81,CN,2022-02-14 04:07:32,light snow
68,Sandomierz,50.6827,21.749,35.92,88,6,6.96,PL,2022-02-14 04:07:32,clear sky
69,Mareeba,-17.0,145.4333,83.44,73,57,7.99,AU,2022-02-14 04:07:33,broken clouds
70,Tabou,4.423,-7.3528,76.8,88,84,4.88,CI,2022-02-14 04:07:33,broken clouds
71,Nouadhibou,20.931,-17.0347,64.94,69,99,17.52,MR,2022-02-14 04:07:34,overcast clouds
72,Souillac,-20.5167,57.5167,82.36,86,99,13.38,MU,2022-02-14 04:07:34,light rain
73,Hirara,24.8,125.2833,64.54,81,100,24.16,JP,2022-02-14 04:07:35,overcast clouds
74,Clearwater,27.9659,-82.8001,58.91,68,0,24.0,US,2022-02-14 04:06:53,clear sky
75,Butaritari,3.0707,172.7902,81.3,77,62,12.66,KI,2022-02-14 04:07:35,light rain
76,Kapaa,22.0752,-159.319,75.18,65,0,18.41,US,2022-02-14 04:07:36,clear sky
77,Avarua,-21.2078,-159.775,77.05,88,20,8.05,CK,2022-02-14 04:07:36,light rain
78,Cap-Aux-Meules,47.3821,-61.8597,18.59,70,100,13.89,CA,2022-02-14 04:07:37,overcast clouds
79,Olafsvik,64.8945,-23.7142,33.49,67,98,12.55,IS,2022-02-14 04:07:37,overcast clouds
80,Georgetown,5.4112,100.3354,87.89,69,20,4.61,MY,2022-02-14 04:04:53,few clouds
81,Salalah,17.0151,54.0924,71.69,16,2,6.91,OM,2022-02-14 04:07:38,clear sky
82,Tateyama,34.9833,139.8667,49.01,60,100,19.28,JP,2022-02-14 04:07:38,heavy intensity rain
83,Torbay,47.6666,-52.7314,30.27,87,100,10.0,CA,2022-02-14 04:07:39,light snow
84,Qaanaaq,77.484,-69.3632,-7.94,68,77,7.67,GL,2022-02-14 04:07:39,broken clouds
85,Petropavlovsk-Kamchatskiy,53.0452,158.6483,21.79,68,75,8.95,RU,2022-02-14 04:07:40,broken clouds
86,Abashiri,44.0213,144.2697,28.51,81,100,9.71,JP,2022-02-14 04:07:40,overcast clouds
87,Tuatapere,-46.1333,167.6833,62.13,60,100,8.23,NZ,2022-02-14 04:07:40,overcast clouds
88,Carnarvon,-24.8667,113.6333,87.87,70,6,13.8,AU,2022-02-14 04:07:41,clear sky
89,Brighton,50.8284,-0.1395,47.01,91,100,15.99,GB,2022-02-14 04:07:41,overcast clouds
90,Camacha,33.0833,-16.3333,58.42,72,20,6.91,PT,2022-02-14 04:04:46,few clouds
91,San Cristobal,7.7669,-72.225,65.68,77,96,1.5,VE,2022-02-14 04:08:42,overcast clouds
92,Faanui,-16.4833,-151.75,81.1,75,100,11.9,PF,2022-02-14 04:08:42,moderate rain
93,East London,-33.0153,27.9116,70.3,89,24,12.93,ZA,2022-02-14 04:08:43,light rain
94,Reconquista,-29.15,-59.65,64.02,40,0,4.88,AR,2022-02-14 04:08:43,clear sky
95,Shakawe,-18.3667,21.85,67.69,86,87,2.71,BW,2022-02-14 04:08:44,overcast clouds
96,Pacific Grove,36.6177,-121.9166,63.61,93,100,1.01,US,2022-02-14 04:03:57,fog
97,Namibe,-15.1961,12.1522,72.99,86,90,1.1,AO,2022-02-14 04:08:43,overcast clouds
98,Yellowknife,62.456,-114.3525,-22.45,91,76,1.99,CA,2022-02-14 04:08:44,broken clouds
99,Khatanga,71.9667,102.5,-26.57,100,56,2.77,RU,2022-02-14 04:08:45,broken clouds
100,Port Macquarie,-31.4333,152.9167,77.9,65,88,10.42,AU,2022-02-14 04:03:50,overcast clouds
101,Narsaq,60.9167,-46.05,21.42,94,100,6.6,GL,2022-02-14 04:08:45,light snow
102,Abalak,58.1286,68.5944,-10.19,100,100,3.6,RU,2022-02-14 04:08:46,overcast clouds
103,Lompoc,34.6391,-120.4579,65.93,89,100,11.99,US,2022-02-14 04:08:46,mist
104,Tamadau Mare,44.4667,26.55,32.72,93,100,4.61,RO,2022-02-14 04:08:47,overcast clouds
105,Phibun Mangsahan,15.2447,105.2291,78.4,70,100,9.82,TH,2022-02-14 04:08:47,overcast clouds
106,Teguise,29.0605,-13.564,55.62,82,0,6.91,ES,2022-02-14 04:08:48,clear sky
107,Hervey Bay,-25.2986,152.8535,77.11,77,42,19.75,AU,2022-02-14 04:07:33,light rain
108,Ahipara,-35.1667,173.1667,70.43,57,13,11.77,NZ,2022-02-14 04:08:48,few clouds
109,Ayan,56.45,138.1667,2.93,70,8,0.85,RU,2022-02-14 04:08:49,clear sky
110,Port Lincoln,-34.7333,135.8667,72.41,67,15,11.77,AU,2022-02-14 04:08:49,few clouds
111,Palmer,42.1584,-72.3287,25.63,57,100,8.05,US,2022-02-14 04:08:50,overcast clouds
112,Yerbogachen,61.2767,108.0108,-8.64,92,81,4.45,RU,2022-02-14 04:08:50,broken clouds
113,Maniitsoq,65.4167,-52.9,1.4,87,100,3.15,GL,2022-02-14 04:07:29,light snow
114,Port Blair,11.6667,92.75,80.64,65,40,11.5,IN,2022-02-14 04:08:51,scattered clouds
115,Kaeo,-35.1,173.7833,77.32,54,12,5.19,NZ,2022-02-14 04:08:51,few clouds
116,Araouane,18.9048,-3.5265,57.07,25,30,11.39,ML,2022-02-14 04:08:51,scattered clouds
