City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Kaihua,23.3687,104.28,50.7,82,12,4.83,CN,2022-02-14 00:57:19
59,Qasigiannguit,68.8193,-51.1922,-1.88,94,100,6.2,GL,2022-02-14 00:57:19
60,Cayenne,4.9333,-52.3333,80.1,84,100,3.0,GF,2022-02-14 00:57:20
61,Nanfeng,23.7434,111.7959,47.95,83,2,3.6,CN,2022-02-14 00:57:20
62,Angoche,-16.2325,39.9086,76.26,92,99,5.53,MZ,2022-02-14 00:57:21
63,Uarini,-2.99,-65.1083,74.14,97,100,2.35,BR,2022-02-14 00:57:21
64,Ahipara,-35.1667,173.1667,70.74,55,25,10.27,NZ,2022-02-14 00:57:22
65,Caravelas,-17.7125,-39.2481,75.36,90,90,4.88,BR,2022-02-14 00:57:22
66,Lompoc,34.6391,-120.4579,80.13,63,0,6.91,US,2022-02-14 00:57:23
67,Tiksi,71.6872,128.8694,-13.13,92,20,11.03,RU,2022-02-14 00:57:24
68,Simao,22.7886,100.9748,52.2,47,0,0.81,CN,2022-02-14 00:57:24
69,Shelopugino,51.6514,117.5599,-16.42,98,100,1.5,RU,2022-02-14 00:57:25
70,Butaritari,3.0707,172.7902,81.19,77,20,13.0,KI,2022-02-14 00:57:25
71,Cherskiy,68.75,161.3,-22.76,97,95,6.67,RU,2022-02-14 00:57:26
72,Qaanaaq,77.484,-69.3632,-8.1,71,88,6.17,GL,2022-02-14 00:56:10
73,Santa Vitoria Do Palmar,-33.5189,-53.3681,59.43,64,0,6.13,BR,2022-02-14 00:57:26
74,Havoysund,70.9963,24.6622,16.68,91,100,7.72,NO,2022-02-14 00:57:27
75,Vaini,-21.2,-175.2,86.16,74,40,13.8,TO,2022-02-14 00:55:20
76,Sorong,-0.8833,131.25,78.42,87,100,5.95,ID,2022-02-14 00:57:28
77,Port Elizabeth,-33.918,25.5701,66.49,94,100,11.5,ZA,2022-02-14 00:57:28
78,Hami,42.8,93.45,24.06,45,11,5.86,CN,2022-02-14 00:57:29
79,Souillac,-20.5167,57.5167,81.36,89,40,9.22,MU,2022-02-14 00:54:23
80,Sitka,57.0531,-135.33,39.07,97,100,4.72,US,2022-02-14 00:53:09
81,Wilmington,34.2257,-77.9447,47.93,84,100,4.61,US,2022-02-14 00:53:20
82,Aswan,24.0934,32.907,61.9,29,0,6.91,EG,2022-02-14 00:57:30
83,Presidencia Roque Saenz Pena,-26.7852,-60.4388,71.1,38,0,2.33,AR,2022-02-14 00:53:57
84,Ponta Do Sol,32.6667,-17.1,62.71,72,77,0.47,PT,2022-02-14 00:57:31
85,Malanje,-9.5402,16.341,63.07,97,100,4.18,AO,2022-02-14 00:57:31
86,Constitucion,-35.3333,-72.4167,59.41,89,61,4.36,CL,2022-02-14 00:57:32
87,Svetlyy,54.675,20.1347,35.65,75,100,17.05,RU,2022-02-14 00:57:32
88,Kysyl-Syr,63.8986,122.7617,-24.27,100,100,0.18,RU,2022-02-14 00:57:33
89,Moron,-34.6534,-58.6198,74.98,45,0,5.48,AR,2022-02-14 00:58:33
90,Norman Wells,65.282,-126.8329,-5.76,65,100,4.61,CA,2022-02-14 00:54:59
91,Puerto Maldonado,-12.6,-69.1833,73.8,94,72,0.0,PE,2022-02-14 00:58:34
92,Cape Town,-33.9258,18.4232,68.41,79,20,18.41,ZA,2022-02-14 00:58:34
93,Gap,44.6667,6.0,26.83,85,100,5.41,FR,2022-02-14 00:58:35
94,Sumbe,-11.2061,13.8437,75.29,84,100,3.11,AO,2022-02-14 00:58:35
95,Bahia Blanca,-38.7196,-62.2724,75.65,25,0,8.23,AR,2022-02-14 00:58:36
96,Cidreira,-30.1811,-50.2056,68.54,90,14,2.98,BR,2022-02-14 00:55:59
97,Doha,25.2867,51.5333,62.58,63,0,10.36,QA,2022-02-14 00:56:21
98,Severo-Kurilsk,50.6789,156.125,26.35,66,45,15.21,RU,2022-02-14 00:56:42
99,Ushuaia,-54.8,-68.3,38.86,81,40,26.46,AR,2022-02-14 00:56:07
100,San Jose,37.3394,-121.895,79.48,44,40,6.91,US,2022-02-14 00:57:32
101,Puerto Carreno,6.189,-67.4859,84.79,39,96,7.67,CO,2022-02-14 00:58:38
102,Yanam,16.7333,82.2167,68.4,85,5,3.67,IN,2022-02-14 00:58:38
103,Sargur,11.9833,76.4167,63.46,89,1,1.3,IN,2022-02-14 00:58:39
104,Neusiedl Am See,47.9357,16.8325,37.8,74,0,15.23,AT,2022-02-14 00:58:39
105,Freeport,40.6576,-73.5832,30.33,79,100,10.36,US,2022-02-14 00:54:12
106,Iqaluit,63.7506,-68.5145,-16.31,68,100,3.44,CA,2022-02-14 00:58:40
107,Sinnamary,5.3833,-52.95,76.37,90,100,8.86,GF,2022-02-14 00:58:40
108,Ardmore,34.1743,-97.1436,53.11,27,0,4.61,US,2022-02-14 00:58:41
109,Hvolsvollur,63.7533,-20.2243,21.25,83,100,6.38,IS,2022-02-14 00:58:41
110,Saint George,37.1041,-113.5841,68.47,17,0,0.87,US,2022-02-14 00:58:42
111,Ancud,-41.8697,-73.8203,65.73,94,4,2.21,CL,2022-02-14 00:58:42
112,Alice Springs,-23.7,133.8833,87.35,27,0,8.05,AU,2022-02-14 00:58:43
113,Tosya,41.0155,34.0401,31.73,88,100,1.83,TR,2022-02-14 00:58:43
114,Katsuura,35.1333,140.3,45.1,70,98,25.21,JP,2022-02-14 00:58:44
115,Khatanga,71.9667,102.5,-27.17,100,43,1.88,RU,2022-02-14 00:56:56
116,Ribeira Grande,38.5167,-28.7,58.15,69,100,5.46,PT,2022-02-14 00:56:03
117,Boddam,57.4667,-1.7833,43.38,91,100,12.24,GB,2022-02-14 00:58:45
118,Thompson,55.7435,-97.8558,-11.04,77,20,0.0,CA,2022-02-14 00:58:45
119,Santa Cruz,-17.8,-63.1667,74.66,69,79,2.3,BO,2022-02-14 00:58:46
120,Monterey,36.2505,-121.2516,59.11,34,0,5.23,US,2022-02-14 00:58:47
121,Georgetown,5.4112,100.3354,80.53,90,20,5.01,MY,2022-02-14 00:58:47
122,Faanui,-16.4833,-151.75,80.49,75,100,14.18,PF,2022-02-14 00:58:47
123,Paragominas,-2.9667,-47.4833,72.12,98,100,3.09,BR,2022-02-14 00:58:48
124,Kunya,12.2233,8.5325,60.96,44,0,0.0,NG,2022-02-14 00:58:48
125,Hithadhoo,-0.6,73.0833,82.06,75,38,12.8,MV,2022-02-14 00:58:49
126,Salalah,17.0151,54.0924,68.18,31,0,18.1,OM,2022-02-14 00:58:49
127,Tasiilaq,65.6145,-37.6368,20.64,93,100,18.79,GL,2022-02-14 00:58:50
