City_ID,City,Country,Max Temp,description,Lat,Lng,Hotel Name
477,Dong Xoai,VN,94.37,broken clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
484,Lethem,GY,77.0,scattered clouds,3.3803,-59.7968,Savannah Inn
486,Santa Rosa,PH,87.78,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
492,Pailitas,CO,77.22,few clouds,8.9565,-73.6255,HOTEL JECENTER
497,Kudahuvadhoo,MV,81.45,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
501,Merauke,ID,85.12,broken clouds,-8.4667,140.3333,
505,Nhulunbuy,AU,90.21,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
509,Puerto Escondido,MX,81.43,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
519,Bubaque,GW,77.95,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
525,Jaque,PA,77.58,overcast clouds,7.5175,-78.1703,Aventuras Jaque S.A
528,San Juan,AR,75.74,clear sky,-31.5375,-68.5364,Hotel Provincial
530,Bac Lieu,VN,86.76,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
532,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
534,Poya,NC,86.02,overcast clouds,-21.35,165.15,
543,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
545,Le Port,RE,82.4,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
553,Geraldton,AU,86.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
564,Kinablangan,PH,83.05,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
566,Ca Mau,VN,91.09,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
568,Bandarbeyla,SO,75.07,overcast clouds,9.4942,50.8122,JABIR HOTEL
569,Cockburn Town,TC,77.59,clear sky,21.4612,-71.1419,Osprey Beach Hotel
571,Martapura,ID,89.69,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
575,Idukki,IN,77.76,clear sky,9.85,76.9667,"GOVERNMENT GUEST HOUSE, IDUKKI"
582,Tamandare,BR,78.96,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
584,Vanimo,PG,82.76,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
589,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,Mercure Padang
595,Maragogi,BR,78.82,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
604,Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,Hotel Fórum
606,Pemangkat,ID,82.08,overcast clouds,1.1667,108.9667,Ramah Kost KITA
623,Lafiagi,NG,76.6,broken clouds,8.8667,5.4167,Bus group international
626,Maroantsetra,MG,76.6,broken clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
628,Biak,ID,82.71,broken clouds,-0.9131,122.8766,Penginapan Kim
629,Bhatkal,IN,81.03,scattered clouds,13.9667,74.5667,Nilawar Palace
635,Singkang,MY,85.89,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
640,Chiang Klang,TH,81.73,scattered clouds,19.2938,100.8617,Sangthong Resort
658,Alyangula,AU,82.27,light rain,-13.8483,136.4192,Groote Eylandt Lodge
661,Conceicao Da Barra,BR,75.33,few clouds,-18.5933,-39.7322,Cricaré Praia Hotel
662,Lahat,ID,88.9,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
663,Amahai,ID,80.28,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
664,Samarai,PG,83.48,broken clouds,-10.6167,150.6667,Nuli Sapi
665,Laguna De Perlas,NI,77.52,few clouds,12.3429,-83.6712,Hotel Best View
674,Kuah,MY,89.6,few clouds,6.3265,99.8432,Azio Hotel
679,Kribi,CM,78.3,light rain,2.95,9.9167,La Grace Hôtel
683,Katobu,ID,79.77,broken clouds,-4.9408,122.5276,La Ode Husein
684,Sawtell,AU,75.52,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
685,Ratnagiri,IN,78.21,clear sky,16.9833,73.3,Hotel Landmark
686,Gua Musang,MY,84.09,overcast clouds,4.8823,101.9644,Mines Inn Hotel
693,Namatanai,PG,83.8,light rain,-3.6667,152.4333,Seagulls Inn Namatani
